Cell type,L6_associated,L6_nonassociated,enrichment,P,P_{bonf}
Astrocyte,0.11165048543689321,0.11538461538461539,0.9676375404530745,0.7239276072392761,1.0
Chandelier,0.0,0.0,,1.0,1.0
Endothelial,0.035897435897435895,0.0392156862745098,0.9153846153846154,0.40175982401759824,1.0
L2/3 IT,0.005263157894736842,0.006172839506172839,0.8526315789473684,0.13998600139986,1.0
L4 IT,0.0,0.005681818181818182,0.0,0.0235976402359764,0.5663433656634336
L5 ET,0.0,0.0064516129032258064,0.0,0.0011998800119988001,0.028797120287971205
L5 IT,0.004878048780487805,0.014925373134328358,0.32682926829268294,0.0103989601039896,0.2495750424957504
L5/6 NP,0.0,0.006060606060606061,0.0,0.0004999500049995,0.011998800119988001
L6 CT,0.04132231404958678,0.04,1.0330578512396695,0.8222177782221778,1.0
L6 IT,0.11891891891891893,0.14285714285714285,0.8324324324324325,0.030896910308969103,0.7415258474152585
L6 IT Car3,0.007407407407407408,0.04932735426008968,0.15016835016835017,9.999000099990002e-05,0.0023997600239976003
L6b,0.07441860465116279,0.07865168539325842,0.9461794019933555,0.36236376362363765,1.0
Lamp5,0.0,0.0,,1.0,1.0
Lamp5 Lhx6,0.0064516129032258064,0.00641025641025641,1.006451612903226,0.9628037196280372,1.0
Microglia-PVM,0.05188679245283019,0.041237113402061855,1.2582547169811322,0.2585741425857414,1.0
OPC,0.039603960396039604,0.03389830508474576,1.1683168316831682,0.14808519148085192,1.0
Oligodendrocyte,0.3744493392070485,0.22972972972972974,1.6299559471365639,9.999000099990002e-05,0.0023997600239976003
Pax6,0.0,0.0,,1.0,1.0
Pvalb,0.005988023952095809,0.007874015748031496,0.7604790419161678,0.40545945405459455,1.0
Sncg,0.0,0.0,,1.0,1.0
Sst,0.011764705882352941,0.015625,0.7529411764705882,0.04839516048395161,1.0
Sst Chodl,0.0,0.0,,1.0,1.0
VLMC,0.030864197530864196,0.03184713375796178,0.9691358024691358,0.6930306969303069,1.0
Vip,0.0,0.0,,1.0,1.0
